,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
0,Fargana Hoque,28.0,46,1,0,60.86956521739131,Sana Mir,['Batool Fatima'],stumped,Fargana Hoque,2012-10-30,Pakistan,Pakistan,0,Guanggong International Cricket Stadium
0,Fargana Hoque,4.0,11,0,0,36.36363636363637,M Kapp,['D van Niekerk'],caught,Fargana Hoque,2013-09-14,Bangladesh,South Africa,0,Senwes Park
6,Fargana Hoque,8.0,5,1,0,160.0,notOut,notOut,notOut,notOut,2013-09-15,Bangladesh,South Africa,0,Senwes Park
3,Fargana Hoque,2.0,4,0,0,50.0,SL Quintyne,0,lbw,Fargana Hoque,2014-03-26,West Indies,West Indies,0,Sylhet Stadium
1,Fargana Hoque,15.0,31,0,0,48.38709677419355,J Goswami,0,lbw,Fargana Hoque,2014-03-30,India,India,0,Sylhet Stadium
2,Fargana Hoque,23.0,37,2,0,62.16216216216216,Nida Dar,['Rabiya Shah'],stumped,Fargana Hoque,2015-09-30,Bangladesh,Pakistan,0,Southend Club Cricket Stadium
2,Fargana Hoque,6.0,7,1,0,85.71428571428571,Sumaiya Siddiqi,['Iram Javed'],caught,Fargana Hoque,2015-10-01,Bangladesh,Pakistan,0,Southend Club Cricket Stadium
4,Fargana Hoque,6.0,6,0,0,100.0,notOut,notOut,notOut,notOut,2015-12-05,Ireland,Ireland,0,Terdthai Cricket Ground
2,Fargana Hoque,19.0,25,2,0,76.0,D Hazell,['NR Sciver'],caught,Fargana Hoque,2016-03-17,England,England,0,M Chinnaswamy Stadium
2,Fargana Hoque,17.0,25,1,0,68.0,HK Matthews,['SS Connell'],run out,Salma Khatun,2016-03-20,West Indies,West Indies,0,"MA Chidambaram Stadium, Chepauk"
3,Fargana Hoque,17.0,25,1,0,68.0,HK Matthews,0,bowled,Fargana Hoque,2016-03-20,West Indies,West Indies,0,"MA Chidambaram Stadium, Chepauk"
3,Fargana Hoque,36.0,38,2,0,94.73684210526315,Nida Dar,"['Iram Javed', 'Nida Dar']",run out,Nigar Sultana,2016-03-24,Pakistan,Pakistan,0,Feroz Shah Kotla
4,Fargana Hoque,36.0,38,2,0,94.73684210526315,Nida Dar,"['Bismah Maroof', 'Nida Dar']",run out,Fahima Khatun,2016-03-24,Pakistan,Pakistan,0,Feroz Shah Kotla
2,Fargana Hoque,24.0,26,0,0,92.3076923076923,CJ Metcalfe,['CJ Metcalfe'],run out,Nigar Sultana,2016-09-05,Bangladesh,Ireland,0,"Bready Cricket Club, Magheramason"
3,Fargana Hoque,24.0,26,0,0,92.3076923076923,LK O'Reilly,['MV Waldron'],stumped,Fargana Hoque,2016-09-05,Bangladesh,Ireland,0,"Bready Cricket Club, Magheramason"
8,Farhad Reza,18.0,14,2,0,128.57142857142858,Shoaib Akhtar,0,bowled,Farhad Reza,2007-09-02,Pakistan,Pakistan,0,Gymkhana Club Ground
7,Farhad Reza,19.0,21,0,2,90.47619047619048,VD Philander,['JM Kemp'],caught,Farhad Reza,2007-09-15,Bangladesh,South Africa,0,Newlands
7,Farhad Reza,4.0,13,0,0,30.76923076923077,NW Bracken,['MEK Hussey'],caught,Farhad Reza,2007-09-16,Bangladesh,Australia,0,Newlands
7,Farhad Reza,2.0,4,0,0,50.0,Wahab Riaz,"['Fawad Alam', 'Kamran Akmal']",run out,Farhad Reza,2008-04-20,Bangladesh,Pakistan,0,National Stadium
8,Farhad Reza,6.0,12,0,0,50.0,Shahid Afridi,0,lbw,Farhad Reza,2011-11-29,Pakistan,Pakistan,0,Shere Bangla National Stadium
7,Farhad Reza,7.0,5,1,0,140.0,notOut,notOut,notOut,notOut,2014-02-12,Sri Lanka,Sri Lanka,0,Zahur Ahmed Chowdhury Stadium
8,Farhad Reza,9.0,16,0,0,56.25,KMDN Kulasekara,['LD Chandimal'],caught,Farhad Reza,2014-02-14,Sri Lanka,Sri Lanka,0,Zahur Ahmed Chowdhury Stadium
